AX_W1,AX_W2,AX_W3,AX_W4
5.485,7.4,7.68,7.805
5.35,6.519,2.944,2.951
5.228,5.309,3.116,3.215
5.488,7.082,4.978,4.504
5.702,9.657,5.548,5.124
4.717,6.549,5.938,5.679
5.156,3.348,2.612,2.504
5.577,5.961,3.447,3.221
4.849,7.375,8.049,8.438
4.35,3.136,3.221,3.039
4.75,7.213,5.707,5.62
4.793,6.828,4.336,4.449
4.566,2.843,2.373,2.357
4.766,5.499,2.91,3.041
4.4,3.825,2.8,2.794
5.672,7.296,3.567,3.653
5.027,7.246,2.324,2.374
5.141,7.622,6.0,6.157
5.391,9.029,4.501,4.476
5.373,6.385,4.099,4.123
5.661,6.466,4.19,3.997
4.877,6.538,6.112,4.805
4.63,7.204,4.865,4.675
5.065,7.126,5.212,5.293
4.99,7.2,6.195,5.594
6.359,9.165,7.787,7.853
5.004,7.248,7.614,7.583
4.689,7.221,5.629,6.072
5.311,5.454,3.353,3.408
5.508,8.595,8.023,6.634
4.744,8.369,6.253,5.902
5.029,4.955,3.781,3.7
5.292,6.207,5.301,4.989
4.669,4.162,2.981,2.882
4.232,3.976,2.772,2.668
4.961,5.114,3.36,3.248
4.517,5.088,3.776,3.654
5.957,5.074,2.898,3.184
4.428,6.363,6.433,6.427
4.579,4.182,1.892,2.248
4.338,3.459,3.216,2.465
5.504,8.131,6.889,6.752
4.563,3.836,2.191,2.19
4.566,4.102,4.131,1.099
5.039,7.015,7.739,7.303
4.724,7.019,6.508,6.387
4.048,2.973,3.126,2.48
4.655,5.463,3.916,3.587
4.901,4.826,2.308,2.474
4.371,3.694,3.343,2.315
4.893,5.884,3.856,4.056
4.452,3.12,1.918,2.002
4.703,3.971,3.179,3.848
5.309,4.156,3.108,3.103
4.386,3.0,2.344,2.714
4.886,4.4,2.425,2.464
4.263,3.654,2.275,2.365
5.329,4.838,2.72,2.585
5.639,6.643,4.206,4.311
4.904,7.069,6.869,6.835
5.809,8.078,7.62,7.541
7.4,6.918,5.459,6.049
5.551,4.462,2.746,2.65
4.473,6.466,6.343,6.301
6.747,12.261,5.541,5.424
5.095,4.802,3.33,3.188
5.175,4.213,2.7,2.62
4.86,5.981,3.366,3.262
4.802,4.458,3.034,3.392
5.007,4.377,2.184,2.146
5.706,6.219,4.511,4.161
5.185,7.079,8.632,8.557
4.699,6.058,3.97,3.641
4.451,4.493,2.387,2.872
5.494,5.935,4.249,4.601
7.2,9.183,3.714,4.028
4.813,3.882,2.405,1.953
4.785,5.648,2.542,2.614
5.501,3.79,3.04,3.157
5.374,9.034,2.828,2.627
5.772,11.433,4.024,4.045
6.056,7.265,4.143,4.182
4.273,2.898,2.255,2.116
5.63,7.015,3.13,2.941
5.969,5.889,4.21,4.147
4.887,5.088,3.501,3.905
4.696,5.69,3.591,3.216
6.149,11.592,6.104,6.32
4.757,6.105,4.249,4.396
5.773,7.261,5.954,6.925
4.398,4.636,4.079,4.049
5.636,6.292,5.892,5.363
5.944,7.344,5.29,4.783
5.476,6.033,3.438,3.486
5.629,5.602,3.006,3.008
4.711,4.857,2.968,2.715
4.699,8.325,6.252,6.361
3.57,2.124,2.966,4.23
3.933,2.796,3.478,4.464
4.213,2.95,2.895,3.677
7.51,8.654,6.833,6.009
4.792,8.033,6.432,6.268
4.562,5.898,5.022,5.028
4.849,5.998,4.446,4.426
6.508,10.924,6.11,6.09
5.199,6.232,4.85,5.053
4.736,4.438,3.94,3.078
4.709,4.41,2.771,2.327
5.055,5.71,4.204,4.18
4.689,3.558,2.684,2.6
5.644,3.954,2.876,2.897
5.443,6.604,5.446,5.47
5.925,7.072,4.87,1.407
5.773,7.487,4.847,4.805
5.694,8.012,3.339,3.533
4.302,4.143,2.262,2.189
4.701,3.839,2.424,2.627
5.098,3.823,5.925,1.246
4.401,4.424,3.587,3.541
5.051,6.528,5.107,5.423
5.304,4.539,2.865,2.767
6.006,6.828,5.342,5.011
5.311,5.866,4.6,4.808
5.125,4.569,4.907,4.666
6.996,5.602,4.186,3.848
4.906,5.063,4.369,4.979
4.256,3.703,2.832,2.955
5.077,6.43,4.862,4.702
4.437,3.443,2.318,2.377
4.668,5.452,4.095,4.418
5.788,8.752,3.725,3.909
4.791,7.627,6.573,6.91
5.512,6.36,3.742,3.447
4.696,6.047,3.884,3.965
4.399,6.207,5.155,5.267
4.615,4.041,2.956,2.581
5.95,7.745,3.883,3.662
4.898,4.998,5.255,5.271
4.919,6.249,6.007,3.302
5.313,3.727,2.507,2.522
5.203,4.656,4.567,4.489
4.378,3.622,2.208,2.093
5.857,8.549,3.933,4.407
4.48,3.244,2.335,2.243
4.52,4.96,4.806,4.801
4.763,4.618,2.391,2.398
4.808,5.662,4.631,4.624
4.923,4.375,3.629,3.89
5.951,8.226,6.147,5.988
4.885,3.393,2.741,2.771
5.015,4.36,3.431,3.237
5.139,6.891,4.199,3.743
5.229,7.027,5.23,5.376
4.307,3.867,3.902,3.737
4.529,3.856,2.733,2.71
5.112,4.482,4.467,4.425
5.864,4.728,3.137,2.711
5.102,3.42,1.943,1.723
4.544,4.748,3.656,4.01
4.492,4.997,4.299,3.994
4.298,3.832,2.883,2.886
5.308,6.305,4.05,3.987
5.672,6.421,3.954,3.796
5.088,6.046,4.492,4.42
4.242,3.93,2.877,2.828
4.401,3.745,2.732,3.094
5.471,5.322,4.021,3.957
4.258,4.272,3.593,3.801
4.823,4.969,3.769,4.079
3.981,3.805,2.31,2.757
4.701,6.693,3.93,4.586
4.579,6.05,3.898,3.019
5.431,4.855,4.193,4.222
4.325,4.515,5.964,5.873
5.091,4.404,2.491,3.13
4.404,6.05,3.336,3.246
4.409,5.425,4.316,4.217
5.059,6.871,4.003,3.883
5.8,8.906,5.417,5.68
5.285,5.228,3.887,3.963
4.709,5.816,3.311,3.261
4.726,4.13,2.806,2.968
5.622,6.967,3.106,3.274
3.715,3.195,2.534,1.945
5.059,3.011,1.846,1.889
4.774,3.9,3.219,3.194
4.761,4.428,3.08,2.479
5.575,4.128,2.693,2.358
4.28,3.592,2.385,2.861
4.644,3.774,2.742,2.52
5.794,10.609,6.156,6.183
4.057,3.105,1.775,2.589
4.849,4.32,2.234,2.571
5.137,5.855,4.046,4.303
4.91,5.077,3.343,3.434
4.572,4.431,3.896,3.776
4.205,3.84,3.1,2.616
5.125,6.337,4.422,4.143
4.735,4.678,2.803,3.215
4.854,4.828,3.937,3.777
4.192,2.697,1.974,2.017
4.724,3.682,2.416,2.353
6.004,6.69,3.193,3.364
3.893,3.175,2.584,3.346
5.434,4.458,3.039,3.057
4.252,3.527,2.775,2.745
5.079,4.088,3.802,3.732
4.34,4.167,3.456,2.486
6.41,5.259,3.377,3.444
5.014,3.046,3.016,3.064
5.701,6.187,3.093,3.425
4.544,3.798,3.097,2.849
4.581,7.146,2.925,3.067
6.074,5.194,2.822,2.83
4.86,3.633,2.438,2.256
5.574,6.06,7.304,7.17
4.634,2.814,2.221,2.169
4.51,3.323,1.885,2.432
5.24,4.785,2.56,2.387
5.245,4.837,2.915,2.975
3.992,3.782,3.009,2.617
4.463,4.056,2.518,2.826
4.458,3.117,2.014,1.459
4.232,2.885,2.672,2.559
4.878,3.326,1.817,1.96
4.129,3.778,4.534,3.67
5.058,3.759,2.962,2.956
5.831,5.572,2.819,2.93
5.698,10.17,3.233,2.917
4.642,3.372,2.507,2.37
5.135,5.028,3.668,3.582
5.253,4.024,2.437,2.591
4.498,3.843,1.675,1.789
4.278,5.792,2.687,2.737
4.333,3.556,2.445,2.341
4.956,5.089,3.768,3.874
5.7,3.44,2.286,2.213
5.65,8.038,5.414,5.605
4.332,4.773,5.932,5.705
3.766,3.872,2.036,2.192
4.706,6.283,6.243,5.744
4.139,6.174,6.128,5.721
3.976,3.412,2.19,2.332
5.351,7.599,7.582,7.402
4.966,6.62,3.667,3.757
4.402,5.69,3.615,3.233
